Title,Company,Location,Modality,Job_Description,When_Posted,Pay,City,State,Rating
Software Developer - AI Trainer (Contract),DataAnnotation,,,DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own…,Active 12 days ag,83200.0,,CA,4.5
REMS Educator,Inizio Engage,,,"Inizio Engage has a long-standing partnership with a leading Biotechnology company across Commercial, Patient Solutions and Medical Affairs businesses. To…",Posted 5 days ag,,,CA,3.5
Data Engineer,LegalMation,"Hybrid remote in Los Angeles, CA 90071",Hybrid,About us LegalMation is a venture-backed AI SaaS company focused on selling automation and analytics solutions to large enterprises and law firms. We have…,Active 4 days ag,80000.0,   Los Angeles,CA,
Associate Data Analyst - Hybrid Remote,CEDARS-SINAI,"Hybrid remote in Los Angeles, CA",Hybrid,Job Description Grow your career at Cedars-Sinai! The Enterprise Information Services (EIS) team at Cedars-Sinai understands that true clinical…,Posted 4 days ago·,,   Los Angeles,CA,
Data Analyst,UCLA,"Los Angeles, CA",,About the California Policy Lab The California Policy Lab translates research insights into government impact. Through hands-on partnerships with government…,Posted 30+ days ago·,14583.0,Los Angeles,CA,
Senior Clinical Data Analyst,Providence,"Burbank, CA 91505",,Description The Radiation Oncology Systems Program Manager provides continuous technical and application support/analysis for various Radiation Oncology…,Posted 5 days ago·,143166.4,Burbank,CA,
Data Science Junior Instructor (Los Angeles),The Knowledge House,"Los Angeles, CA",,Start Date: Immediately End Date: September 2024 Employment Type: This is a part-time position. A flexible schedule including occasional weekend hours is…,Posted 19 days ago·,68640.0,Los Angeles,CA,
Data Scientist,"Pasadena, CA","Pasadena, CA",,Expatiate Communications is a boutique management consulting firm with unmatched expertise in special education. We deliver innovative solutions for the most…,Posted 30+ days ago·,100000.0,Pasadena,CA,
Research Data Scientist,CEDARS-SINAI,"Los Angeles, CA",,"Job Description The Research Data Scientist participates in biomedical research projects using programming, data-mining, statistics, machine learning, and…",Posted 19 days ago·,,Los Angeles,CA,
DATA SCIENTIST,US Department of the Air Force - Agency Wide,"Los Angeles, CA",,Duties NH-02 DUTY 1: Performs developmental assignments in support of projects assigned to higher level analysts. Performs minor phases of a larger…,Posted 30+ days ago·,,Los Angeles,CA,
"Application Software Engineer, Data",SpaceX,"Hawthorne, CA",,SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today…,Posted 26 days ago·,,Hawthorne,CA,
"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,"Hawthorne, CA",,SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today…,Posted 14 days ago·,145000.0,Hawthorne,CA,
SENIOR DATA SCIENTIST,Los Angeles County Department of Human Resources,"Los Angeles County, CA",,"When to Apply We will be accepting applications from Friday, March 22, 2024, at 8:00 a.m. (PT) to Friday, April 5, 2024 BEFORE 5:00 p.m. (PT). Type of…",Posted 4 days ago·,155836.31,Los Angeles County,CA,
Data Engineer,CyberCoders,,,"Data Engineer Are you a Senior Data Engineer with Airflow & DBT Experience? If so, read on... We are a profitable business with revenue running over 100M…",Today,220000.0,,CA,3.9
Data Scientist,Triunity Software,"Los Angeles, CA 90012",,"Data Scientist (NYC, LA, SF or Seattle) Onsite Hybrid role - 3 days a week We are seeking a highly motivated and talented Senior Data Scientist to join our…",Posted 5 days ago·,160000.0,Los Angeles,CA,
Vaccine Specialist Representative,Inizio Engage,,,Inizio Engage has a long-standing partnership with a leading and innovative Biotechnology company across our commercial business. The Vaccine Specialist…,Active 9 days ag,115000.0,,CA,3.5
"Data Scientist, Product Analytics - Trust & Safety",TikTok,"Los Angeles, CA",,Responsibilities About Us TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global…,Posted 12 days ago·,228000.0,Los Angeles,CA,
"Data Scientist, 3+ Years of Experience",Snapchat,"Los Angeles, CA 90291 ",,Snap Inc (https://www.snap.com/en-US/) is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and…,Posted 30+ days ago·,194000.0,Los Angeles,CA,
Data Engineer (L4) - Content Knowledge Graph,Netflix,"Los Angeles, CA",,"Los Angeles, California Netflix is the world's leading internet streaming service with over 250 million members in 190 countries. Our members enjoy a wide…",Posted 30+ days ago·,,Los Angeles,CA,
Data Scientist,goop,"Santa Monica, CA",,About The Company Gwyneth Paltrow launched goop from her kitchen as a homespun weekly newsletter. It's grown a lot since then; goop is a lifestyle platform…,Posted 30+ days ago·,,Santa Monica,CA,
Data Scientist,Exponent Inc.,"Los Angeles, CA 90066 ",,About Exponent: Exponent is the only premium engineering and scientific consulting firm with the depth and breadth of expertise to solve our clients’ most…,Posted 30+ days ago·,,Los Angeles,CA,
Data Analyst - Product & Marketing (REMOTE),The League,"Remote in Los Angeles, CA",Remote,"Company Description The League is a social dating app startup backed by IDG Ventures, xSeed Capital, Cowboy Ventures, Structure Capital, Sherpa Ventures, and…",Posted 30+ days ago·,,Remote  Los Angeles,CA,
"Marketing Data Scientist, Reality Labs",Oculus,"Los Angeles, CA 90230",,The Meta Reality Labs Marketing data science team is responsible for developing world-class data science solutions to maximize AR/VR business growth. This…,Posted 19 days ago·,204000.0,Los Angeles,CA,
Associate Software Engineer,BOEING,"El Segundo, CA 90245",,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a…",Posted 4 days ago·,123050.0,El Segundo,CA,
Business Intelligence Analyst - USDS,TikTok,"Hybrid remote in Los Angeles, CA",Hybrid,Responsibilities About TikTok U.S. Data Security TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring…,Posted 30+ days ago·,168888.0,   Los Angeles,CA,
"Analyst, Content Performance Analytics (Disney Entertainment)",Disney,"Los Angeles, CA",,"Analyst, Content Performance Analytics (Disney Entertainment) Apply Later Job ID 10078081 Location Los Angeles, California, United States Business Disney…",Posted 30+ days ago·,93800.0,Los Angeles,CA,
"Analyst, Data Management & Reporting","Sony Pictures Entertainment, Inc.","Culver City, CA",,"Analyst, Data Management & Reporting. Our Team Worldwide Television Distribution is based in Culver City and responsible for licensing features, series and…",Posted 30+ days ago·,,Culver City,CA,
Pricing and Valuations Analyst (Remote),Manufacturers Bank,"Remote in Los Angeles, CA 90071",Remote,"NEW DIGITAL BANK MISSION STATEMENT Join us on our mission to create a completely new, 100% digital bank that truly serves customers' best interests. We are a…",Posted 30+ days ago·,,Remote  Los Angeles,CA,
Data Scientist,Link Network,"Torrance, CA",,A global insurance company is looking for an individual with a background in statistics and machine learning to join their dynamic Data Science team. The…,Active 4 days ago·,,Torrance,CA,
Responsible AI Risk Assessment and Measurement (Lead/Senior Manager) - X Delivery,Boston Consulting Group,,,Who We Are Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest…,Posted 5 days ag,,,CA,4.2
AI Training for Physics,Outlier,,,"Help train AI models to become more accurate, relevant, and safe in Physics!",Posted 4 days ag,104000.0,,CA,3.7
AI Training for Mathematics,Outlier,,,"Help train AI models to become more accurate, relevant, and safe in Math!",Posted 10 days ag,104000.0,,CA,3.7
Statistician,UCLA,"Los Angeles, CA",,"Advanced knowledge of data collection design, for qualitative and/or quantitative methodologies.",Posted 25 days ago·,14583.0,Los Angeles,CA,
Jr. ML Engineer,BallerTV,"Pasadena, CA",,This is a junior-level role focusing on machine-learning projects related to sports and video processing.,Posted 30+ days ago·,,Pasadena,CA,
"Manager, Content Data Engineering",Netflix,"Los Angeles, CA",,Provide technical vision and strategy for building a data ecosystem that enables Netflix to leverage data about content within cross-functional teams.,Posted 30+ days ago·,,Los Angeles,CA,
Senior Data Scientist,Slalom Consulting,"Los Angeles, CA",,"Develop data and ML pipelines to automate and operationalize data collection, analysis, and visualization/publication of insights.",Posted 4 days ago·,186000.0,Los Angeles,CA,
Data Engineer (W2),ProIT Inc.,"Culver City, CA",,Working on building /optimizing logical data model and data pipelines while delivering high data quality solutions that are testable and adhere to SLAs.,Active 4 days ago·,,Culver City,CA,
Product Data Analyst (Gaming),TapBlaze,"Los Angeles, CA 90025 ",,"Data Integrity: Ensure data accuracy and integrity, troubleshoot data issues, and collaborate with engineering for improved data collection processes.",Posted 30+ days ago·,,Los Angeles,CA,
Analytics Engineer (L5) - Content DSE,Netflix,"Los Angeles, CA",,Proven track record in transforming large amounts of complex data into insights by leading the end-to-end creation of intuitive data products.,Posted 30+ days ago·,,Los Angeles,CA,
Business Intelligence Analyst,Paramount+,"Los Angeles, CA 90069",,Improve and strengthen data pipelines for media mix modeling with data engineering teams.,Posted 16 days ago·,,Los Angeles,CA,
Data Scientist,Core Digital Media,"Hybrid remote in Los Angeles, CA",Hybrid,Do data explorations daily to uncover opportunities for operational improvements through innovative data science solutions.,Posted 30+ days ago·,,   Los Angeles,CA,
ML Ops Data Engineer 2 - Hybrid - Seattle,Nordstrom Inc,"Los Angeles, CA",,Experience building and maintaining data pipelines for machine learning.,Posted 20 days ago·,188500.0,Los Angeles,CA,
Machine Learning Scientist (L4) - Content DSE,Netflix,"Los Angeles, CA",,"Experience with SQL, or with building end-to-end data pipelines.",Posted 11 days ago·,,Los Angeles,CA,
Data Scientist,Fabletics,"Hybrid remote in El Segundo, CA 90245",Hybrid,Experience with data visualization tools such as Tableau.,Posted 30+ days ago·,,   El Segundo,CA,
Data Scientist,Hadrian,"Los Angeles, CA",,Work with the FactoryOS team to ensure data captured from the factory is suitable for data science needs.,Posted 27 days ago·,,Los Angeles,CA,
Senior Data & NLP Engineer,LegalMation,"Los Angeles, CA 90071 ",,Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 4 days ag,160000.0,Los Angeles,CA,
Senior Data Scientist,sweetgreen - Bold Careers Page,"Los Angeles, CA",,7+ years of experience in analytics or data science.,Today·,170000.0,Los Angeles,CA,
Staff Data Scientist Operations,LegalZoom,"Glendale, CA 91203",,"Relevant experience in marketing or product data science, consulting, or a related field.",Posted 30+ days ago·,,Glendale,CA,
Sr. Data Analyst,MaryRuth's,"Remote in Los Angeles, CA",Remote,"Maintain the data lifecycle, including consolidating raw data into a reporting layer to include groomed business logic and KPIs, partnering with tech functions…",Posted 30+ days ago·,,Remote  Los Angeles,CA,
PowerBI Reports Developer for Chemical Guys,Jenn Nguyen and Friends,"Torrance, CA 90505",,Implement security measures to ensure data confidentiality and compliance with data protection regulations.,Active 3 days ago·,130000.0,Torrance,CA,
Product Manager - TikTok Social,TikTok,"Los Angeles, CA",,"1-3 years of experience in product management, data science, consulting, or equivalent roles.",Posted 30+ days ago·,223250.0,Los Angeles,CA,
"Lead Data Analyst, Influence Operations - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Hybrid,Able to create meaningful data visualizations.,Posted 30+ days ago·,220611.0,   Los Angeles,CA,
"Manager, Data Analytics",Disney,"Burbank, CA",,"Experience manipulating large, transaction level datasets and interpreting data trends from multiple disparate data sources.",Posted 30+ days ago·,,Burbank,CA,
Sentinel Principal Data Scientist – 12741,Northrop Grumman,"Manhattan Beach, CA 90266",,Familiarity with common data science toolkits such as Python/R.,Today·,177000.0,Manhattan Beach,CA,
Data Science Instructor,UCLA Extension,"Los Angeles, CA",,"Minimum MS degree in computer science, statistics, Information Technology or applied science.",Posted 30+ days ago·,,Los Angeles,CA,
Product Marketing Assistant Manager,Disney,"Glendale, CA",,"Partner with the consumer insights, data science, and analytics teams to define goals and track the success of key launches and monitor results to inform future…",Posted 30+ days ago·,136700.0,Glendale,CA,
Senior Data Scientist,Warner Bros Careers,"Culver City, CA",,You will work with the data science team to implement best practices in data and code quality and collaborate with business stakeholders to solve broader…,Posted 24 days ago·,222300.0,Culver City,CA,
"Senior Director, Data Science",Red Bull,"Santa Monica, CA ",,3+ years' experience hiring and managing data science teams.,Posted 30+ days ago·,194250.0,Santa Monica,CA,
"Analyst, Quality Analytics & Performance Improvement (Remote)",Molina Healthcare,"Remote in Long Beach, CA 90802",Remote,"Work in an agile business environment to derive meaningful information out of complex as well as large organizational data sets through data analysis, data…",Posted 10 days ago·,,Remote  Long Beach,CA,
Senior Live Product Data Analyst,TikTok,"Hybrid remote in Los Angeles, CA",Hybrid,"Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Posted 30+ days ago·,220611.0,   Los Angeles,CA,
Senior Data Science Engineer,Relativity Space,"Long Beach, CA",,"Lead the exploration and adoption of new data science techniques and methodologies to solve complex, interdisciplinary problems in additive manufacturing.",Posted 12 days ago·,204000.0,Long Beach,CA,
Senior Business Data Analyst,East West Bank,"Pasadena, CA 91101 ",,Troubleshoot and root cause data anomalies.,Posted 11 days ago·,,Pasadena,CA,
Data Scientist,AE Studio,"Los Angeles, CA",,"Experience calling machine learning APIs via REST or client libraries - and determining that their responses lack wit, guile, and tact.",Posted 30+ days ago·,,Los Angeles,CA,
"Sr. Specialist, Advanced Analytics",DIRECTV,,,"3 - 5 years of related experience in data science, advanced analytics, and machine learning.",Posted 8 days ag,,,CA,3.7
Staff Data Scientist,StubHub,"Hybrid remote in Los Angeles, CA",Hybrid,"5+ years of relevant data science or machine learning experience and an MS. or Ph.D. degree in math, statistics, computer science, or other quantitative fields…",Posted 11 days ago·,,   Los Angeles,CA,
"Manager, Data Engineering (Pricing)",EVgo,"Los Angeles, CA 90064",,Interest in performing other tasks such as data analysis and data validation.,Posted 1 day ago·,,Los Angeles,CA,
Senior Business Data Analyst,USC,"Los Angeles, CA",,Identifies data sources and manages collection process; cleans data for input into business intelligence (BI) tools.,Posted 7 days ago·,113304.12,Los Angeles,CA,
"Entry Level Data Analyst, application via RippleMatch",RippleMatch Opportunities,"Los Angeles, CA",,Prior work experience or internships involving data analysis or related fields is a plus.,Posted 4 days ago·,,Los Angeles,CA,
"Data Scientist, Payment Analytics - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Hybrid,"3+ years working in data science, risk, machine learning, and A/B testing.",Posted 8 days ago·,228000.0,   Los Angeles,CA,
Senior Data Analyst,O Positiv,"Santa Monica, CA 90405 ",,3+ years in data / analytics / product management roles.,Posted 30+ days ago·,,Santa Monica,CA,
Business Intelligence Engineer II,Disney Entertainment & ESPN Technology,"Burbank, CA",,"Build complex data connections and aggregations utilizing data science tools EG ML, JSON, API.",Posted 3 days ago·,114400.0,Burbank,CA,
PROJECT MANAGER - DATA & ANALYTICS,STAND 8,"Burbank, CA",,"Onboarding new datasets or data platforms and data availability via API, data pipelines and transformation of data.",Posted 13 days ago·,145600.0,Burbank,CA,
"Sr Data Scientist, Product Analytics - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Hybrid,"Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",Posted 30+ days ago·,312866.0,   Los Angeles,CA,
Data Engineer II,System1,"Hybrid remote in Los Angeles, CA 90066",Hybrid,"Any experience collaborating with business intelligence, data analytics, data science stake-holders, is a plus.",Posted 3 days ago·,,   Los Angeles,CA,
Lead Data Analyst,Childrens Institute Inc,"Los Angeles, CA 90026",,Ensures compliance with data governance policies and maintains data security standards while handling sensitive information.,Posted 30+ days ago·,,Los Angeles,CA,
Machine Learning Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Experience with data structures, data modeling, and software architecture.",Posted 30+ days ago·,111250.0,El Segundo,CA,
Games Data Lead,Blitz App,"Los Angeles, CA",,"Data Architecture: Define and implement data architecture best practices, including data warehousing, data lakes, and cloud-based solutions.",Posted 30+ days ago·,,Los Angeles,CA,
"Analyst, Content Performance Analytics (Disney Entertainment)",Disney Entertainment Television,"Los Angeles, CA",,Expertise in data exploration and data science.,Posted 30+ days ago·,93800.0,Los Angeles,CA,
Applied Scientist I,Capital Group Companies,"Los Angeles, CA",,You will conduct research and experimentation to identify and implement state-of-the-art methodologies in large language modeling and analyze patterns from…,Posted 30+ days ago·,266482.0,Los Angeles,CA,
Programmer/Analyst - Artificial Intelligence in Medicine (AIM),CEDARS-SINAI,"Los Angeles, CA",,Additional responsibilities include the opportunity to participate in making strategic data-related decisions by analyzing and manipulating data and building…,Posted 30+ days ago·,,Los Angeles,CA,
Product Marketing Assistant Manager,The Walt Disney Studios,"Glendale, CA",,"Partner with the consumer insights, data science, and analytics teams to define goals and track the success of key launches and monitor results to inform future…",Posted 30+ days ago·,136700.0,Glendale,CA,
Senior Data Analyst,"Evite, Inc.","Glendale, CA",,Understanding of data warehouse architecture and data design.,Posted 30+ days ago·,,Glendale,CA,
Business & Forecasting Analyst,Coursera,"Remote in Los Angeles, CA",Remote,"This person must have proven experience with forecasting, requirements gathering, financial modeling, data analysis, data reporting & visualization, and…",Posted 20 days ago·,,Remote  Los Angeles,CA,
"Quantum Research Scientist, AWS CQC Fabrication","Amazon Development Center U.S., Inc.","Pasadena, CA",,"We are looking for candidates with strong engineering principles, resourcefulness and data science experience.",Posted 4 days ago·,124100.0,Pasadena,CA,
Department of Biostatistics: Non-Senate Faculty (NSF) Unit 18 Pre-six Lecturer for AY 24-25,UCLA,"Los Angeles, CA",,Biostatistics / Ucla Fielding School Of Public / UCLA.,Posted 3 days ago·,13804.5,Los Angeles,CA,
Senior Data Analyst,Circle,"Remote in Los Angeles, CA",Remote,Expert in data analyses using SQL.,Posted 3 days ago·,162500.0,Remote  Los Angeles,CA,
Business Data Engineer,Latham & Watkins LLP,"Los Angeles, CA 90013 ",,"This role will be responsible for developing, researching, and implementing data analysis projects including but not limited to data reporting, data…",Posted 30+ days ago·,,Los Angeles,CA,
Staff Analytics Engineer,Warner Bros. Discovery,"Culver City, CA 90232",,Design and implement data models that support flexible querying and data visualization.,Posted 30+ days ago·,244400.0,Culver City,CA,
Data Engineer,CyberCoders,,,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Today,220000.0,,CA,3.9
Chief Data & Artificial Intelligence Officer (CDAIO),UCLA,"Los Angeles, CA",,"Understanding of data governance, privacy, and security in AI applications.",Posted 17 days ago·,282300.0,Los Angeles,CA,
Data Engineer,CyberCoders,,,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Today,220000.0,,CA,3.9
"Sr. Specialist, Advanced Analytics",DIRECTV,,,"3 - 5 years of related experience in data science, advanced analytics, and machine learning.",Posted 8 days ag,,,CA,3.7
Chief AI Officer,Proper Hospitality,"Los Angeles, CA",,"Oversee the build-out of AI infrastructure and data pipelines, leveraging guest data, property management systems (PMS), and other hospitality-specific data…",Today·,250000.0,Los Angeles,CA,
Programmer/Analyst - Smidt Heart Institute,CEDARS-SINAI,"Los Angeles, CA",,"Bachelor’s degree required, preferable in computer science or data science.",Posted 30+ days ago·,,Los Angeles,CA,
"Manager, Data Analytics",StackCommerce,"Remote in Venice, CA",Remote,Enhance transparency around data decisions: document and publish data governance decisions and run-down data quality issues at the source.,Posted 30+ days ago·,,Remote  Venice,CA,
Mid-Level Staff Analyst,BOEING,"El Segundo, CA 90245",,"4+ years of experience collecting data from multiple sources, performing analysis and presenting data.",Posted 11 days ago·,106950.0,El Segundo,CA,
AWS Data Engineer - Mumbai,Fugetron Corporation,"Los Angeles, CA",,5+ years of professional experience in software development with familiarity in data engineering or data science.,Posted 28 days ago·,,Los Angeles,CA,
Staff Data Scientist,GOBankingRates,"Remote in Los Angeles, CA",Remote,"Strong skills in data preprocessing, feature engineering, and data wrangling to extract meaningful insights from raw data.",Posted 30+ days ago·,,Remote  Los Angeles,CA,
Senior Data Engineer,GOBankingRates,"Remote in Los Angeles, CA",Remote,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Posted 30+ days ago·,,Remote  Los Angeles,CA,
Application Engineer,MathWorks,"Hybrid remote in Torrance, CA",Hybrid,The hybrid model provides the advantage of having both in-person time with colleagues and flexible at-home life optimizations.,Posted 18 days ago·,140000.0,   Torrance,CA,
"Director/ Sr. Director, Data Analytics",Shout! Factory,"Los Angeles, CA 90025 ",,"Bachelor’s degree in data science, mathematics, or field related coursework.",Posted 5 days ago·,130000.0,Los Angeles,CA,
Data Engineer,InStride,"Los Angeles, CA",,5+ years of professional experience in software development with familiarity in data engineering or data science.,Posted 30+ days ago·,,Los Angeles,CA,
"Growth Marketing Analyst, Paid Social",Thrive Causemetics,"Los Angeles, CA",,Exceptional analytical skills to drive data-driven decisions and problem-solving.,Posted 30+ days ago·,,Los Angeles,CA,
Postdoctoral Scientist - Smidt Heart Institute - Karlstaedt Lab,Springer Nature,"Los Angeles, CA 90048",,"Expertise in biological data science and data-driven discovery, scientific programming and omics data analysis, genetics will also be beneficial, as is…",Posted 5 days ago·,93600.0,Los Angeles,CA,
Applied Scientist (Audio 3D Vision) - $180-$230k,CyberCoders,,,We've been in business for 6 years and have 75 employees.,Posted 3 days ag,230000.0,,CA,3.9
Oncology Key Account Manager,Inizio Engage,,,"Our passionate, global workforce augments local expertise and diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions…",Still hiring,,,CA,3.5
AI Training for Mathematics,Outlier,,,"Help train AI models to become more accurate, relevant, and safe in Math!",Posted 10 days ag,104000.0,,CA,3.7
DATA & SYSTEMS ENGINEER,Iris.TV,"Los Angeles, CA",,"Experience in video, analytics, data connectivity, martech, adtech, and/or building APIs.",Posted 30+ days ago·,,Los Angeles,CA,
Scheduling Pathways and Technology Director (Fixed Hybrid),UCLA Health,"Los Angeles, CA 90095",,"Working under the direction of the Senior Director of Patient Access, the Patient Access Organization (PAO) Scheduling Pathways and Technology Director has…",Posted 30+ days ago·,250600.0,Los Angeles,CA,
Senior Process Engineer (Advanced R&D),Freeform,"Los Angeles, CA",,Experience with machine learning or data science.,Posted 21 days ago·,200000.0,Los Angeles,CA,
"Senior Data Scientist, 5+ Years of Experience",Snapchat,"Los Angeles, CA 90291 ",,5+ years of experience in quantitative analysis & data science or a related field.,Posted 30+ days ago·,235000.0,Los Angeles,CA,
Master of Applied Statistics and Data Science Adjunct Professor - Spring 2024,UCLA,"Los Angeles, CA",,"Ideal candidates will have a Ph.D. in Statistics or a related field, a demonstrated excellence in teaching, knowledge of and experience with R, experience in…",Posted 25 days ago·,40000.0,Los Angeles,CA,
"Associate Director, Analytics","Horizon Media, Inc.","Los Angeles, CA",,25% Being curious to find better ways to help our clients through applied data science.,Posted 30+ days ago·,145000.0,Los Angeles,CA,
"Analyst, Analytics & AI Enablement",Herbalife,"Torrance, CA 90502",,"Familiarity with data preparation techniques, including data cleansing, transformation, and feature engineering.",Today·,,Torrance,CA,
DATA SCIENTIST SUPERVISOR,Los Angeles County Department of Human Resources,"Los Angeles County, CA",,Stays current with and contributes to discovery of data science best practices; mentors staff and ensures the section maintains ongoing training and…,Posted 30+ days ago·,,Los Angeles County,CA,
Sr Data Governance Analyst,Disney Direct to Consumer,"Burbank, CA",,"Relevant degree or certification in library and information science, computer science, or data science.",Posted 18 days ago·,151100.0,Burbank,CA,
Applied Scientist,"Amazon Development Center U.S., Inc. - B02","Pasadena, CA",,"PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience.",Posted 18 days ago·,136000.0,Pasadena,CA,
Machine Learning Engineer,Tencent,"Los Angeles, CA",,Create meaningful and relevant features from game data to improve model performance and accuracy.,Posted 30+ days ago·,,Los Angeles,CA,
Postdoctoral Scholar in Machine Learning in Medicine,UCLA,"Los Angeles, CA",,"PhD in engineering, computer science, or related field.",Posted 30+ days ago·,80000.0,Los Angeles,CA,
"Manager, Data Analytics",Disney Music Group,"Burbank, CA",,"Experience manipulating large, transaction level datasets and interpreting data trends from multiple disparate data sources.",Posted 30+ days ago·,182490.0,Burbank,CA,
Senior Data Scientist,Disney Direct to Consumer,"Santa Monica, CA",,Experience fully integrating data science solutions into the business and operationalizing ML models.,Posted 30+ days ago·,182490.0,Santa Monica,CA,
Automotive Marketing Analyst,Lumenance,"Torrance, CA",,"Data Analysis: Identify, analyze, and develop predictive models and interpret trends or patterns using data sets of varying size and complexity.",Posted 30+ days ago·,,Torrance,CA,
Machine Learning Engineer,Devolved AI,"Los Angeles, CA",,Ensure best practices in data handling and model development are followed.,Today·,,Los Angeles,CA,
Senior Data Scientist - Personalization & Recommendations,Fox Corporation,"Los Angeles, CA",,"Our current advanced digital solutions, accessed by millions across web, mobile, and living room devices, signify just the start of our ambitious journey.",Posted 30+ days ago·,175000.0,Los Angeles,CA,
"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",,Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·,200200.0,Santa Monica,CA,
"Senior Manager, Data Science & Analytics (Nordstrom Media Network)",Nordstrom Inc,"Los Angeles, CA",,"8+ years’ experience in marketing and customer data science & analytics, preferably in retail/e-commerce industry.",Today·,252500.0,Los Angeles,CA,
"Sr. Data Analyst, Brand Marketing",Golden Hippo,"Hybrid remote in Los Angeles, CA",Hybrid,"Using familiarity with tools such as BigQuery, Fivetran, and other data orchestration platforms, maintain the accuracy of data through data quality controls and…",Posted 30+ days ago·,116800.0,   Los Angeles,CA,
"LA Galaxy, Sr Data Analyst- Marketing",AEG Worldwide,"Carson, CA",,Work with the Data Engineer to ensure data is structured properly for analysis to ensure the data desired is received.,Posted 20 days ago·,,Carson,CA,
"Sr Product Manager I, Data Solutions & Instrumentation (ESPN Fantasy)",Disney Entertainment & ESPN Technology,"Santa Monica, CA",,"Advanced degree in computer science, information systems, software, or data science.",Posted 30+ days ago·,182490.0,Santa Monica,CA,
"Software Development Engineer II, Ring Data Science and Engineering",Amazon.com Services LLC,"Hawthorne, CA 90250 ",,"Develop tools to scale and manage large data clusters, automate onboarding of data, and develop self-service interfaces for the data management lifecycle.",Posted 11 days ago·,115000.0,Hawthorne,CA,
"Data Scientist, Product Analytics",Meta,"Los Angeles, CA 90066 ",,"Communication and influence: You won’t simply present data, but tell data-driven stories.",Posted 30+ days ago·,204000.0,Los Angeles,CA,
Lead Space Vehicle Test Director,BOEING,"El Segundo, CA 90245",,Research and refine data collection requirements to improve quality of data sets.,Posted 3 days ago·,164450.0,El Segundo,CA,
Claims Research/ Data Analyst Sr (EDI/Edifecs),Molina Healthcare,"Long Beach, CA 90802",,Validates data received on claims to identify billing issues that will impact claims processing and payment.,Posted 30+ days ago·,129589.63,Long Beach,CA,
"Marketing Science Lead, North America",Snapchat,"Los Angeles, CA 90291 ",,"Access, analyze, interpret, and communicate ads performance insights using a wide range of standard data science tooling.",Posted 30+ days ago·,194000.0,Los Angeles,CA,
Senior Data Scientist - LLM,Spotter,"Culver City, CA",,"In addition to funding, Spotter provides creators with in-depth data insights into the performance of their existing content, enabling them to leverage the full…",Posted 30+ days ago·,,Culver City,CA,
"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Hybrid,Expert experience pulling large and complex data using SQL and writing data pipelines.,Posted 30+ days ago·,,   Los Angeles,CA,
"Title V Data Research Analyst, Institutional Planning & Research Department",Mount Saint Mary's University,"Los Angeles, CA 90049 ",,"Bachelor's degree required in data science, data analysis or a related field; Master's degree preferred.",Posted 30+ days ago·,5666.67,Los Angeles,CA,
Scientific Research Associate - Jonsson Cancer Center,UCLA Health,"Los Angeles, CA 90095",,Prior experience working in thewet-lab component of a large cancer data science group would be considered akey asset.,Posted 30+ days ago·,120931.2,Los Angeles,CA,
Systems Safety Engineer (Associate or Mid-Level),BOEING,"Long Beach, CA",,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 11 days ago·,,Long Beach,CA,
"Sr. Analyst, HRIS & HR Analytics",Valley Presbyterian,"Van Nuys, CA 91405",,Applying data science techniques to analyze data trends and generate insights to help inform continuous process improvement.,Posted 26 days ago·,143000.0,Van Nuys,CA,
Senior Accountant,Resident,"Remote in Los Angeles, CA",Remote,Account for transactions under US GAAP and in accordance with company accounting policies.,Posted 30+ days ago·,,Remote  Los Angeles,CA,
